"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 10:45:24 GMT 2024","Fri Apr 19 10:45:28 GMT 2024","4338","chromium","check-pages.spec.ts","Check pages and elements > Check page ContributorsPage","","","check url and elements",""
"failed","Fri Apr 19 10:45:31 GMT 2024","Fri Apr 19 10:45:34 GMT 2024","3108","chromium","check-pages.spec.ts","Check pages and elements","","","Check activity groups at /activities page",""
"passed","Fri Apr 19 10:45:24 GMT 2024","Fri Apr 19 10:45:28 GMT 2024","4108","chromium","check-pages.spec.ts","Check pages and elements > Check page ActivitiesPage","","","check url and elements",""
"skipped","Fri Apr 19 10:45:28 GMT 2024","Fri Apr 19 10:45:28 GMT 2024","0","chromium","check-pages.spec.ts","Check pages and elements","","","debug",""
"skipped","Fri Apr 19 10:45:28 GMT 2024","Fri Apr 19 10:45:28 GMT 2024","0","chromium","locales/locales.spec.ts","Test of locale for en language","","","check url",""
"skipped","Fri Apr 19 10:45:28 GMT 2024","Fri Apr 19 10:45:28 GMT 2024","1","chromium","locales/locales.spec.ts","Test of locale for en language","","","check elements of main page",""
"skipped","Fri Apr 19 10:45:28 GMT 2024","Fri Apr 19 10:45:28 GMT 2024","0","chromium","example.spec.ts","","","","get started link",""
"passed","Fri Apr 19 10:45:24 GMT 2024","Fri Apr 19 10:45:28 GMT 2024","4401","chromium","check-pages.spec.ts","Check pages and elements > Check page MainPage","","","check url and elements",""
"skipped","Fri Apr 19 10:45:28 GMT 2024","Fri Apr 19 10:45:28 GMT 2024","1","chromium","example.spec.ts","","","","has title",""
