"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Apr 19 09:45:29 GMT 2024","Fri Apr 19 09:45:29 GMT 2024","2","chromium","check-pages.spec.ts","Check pages and elements","","","debug",""
"passed","Fri Apr 19 09:45:25 GMT 2024","Fri Apr 19 09:45:29 GMT 2024","3916","chromium","check-pages.spec.ts","Check pages and elements > Check page ActivitiesPage","","","check url and elements",""
"passed","Fri Apr 19 09:45:25 GMT 2024","Fri Apr 19 09:45:29 GMT 2024","3826","chromium","check-pages.spec.ts","Check pages and elements > Check page MainPage","","","check url and elements",""
"skipped","Fri Apr 19 09:45:29 GMT 2024","Fri Apr 19 09:45:29 GMT 2024","1","chromium","locales/locales.spec.ts","Test of locale for en language","","","check url",""
"failed","Fri Apr 19 09:45:32 GMT 2024","Fri Apr 19 09:45:34 GMT 2024","2366","chromium","check-pages.spec.ts","Check pages and elements","","","Check activity groups at /activities page",""
"skipped","Fri Apr 19 09:45:29 GMT 2024","Fri Apr 19 09:45:29 GMT 2024","1","chromium","example.spec.ts","","","","has title",""
"passed","Fri Apr 19 09:45:25 GMT 2024","Fri Apr 19 09:45:29 GMT 2024","3787","chromium","check-pages.spec.ts","Check pages and elements > Check page ContributorsPage","","","check url and elements",""
"skipped","Fri Apr 19 09:45:29 GMT 2024","Fri Apr 19 09:45:29 GMT 2024","1","chromium","example.spec.ts","","","","get started link",""
"skipped","Fri Apr 19 09:45:29 GMT 2024","Fri Apr 19 09:45:29 GMT 2024","2","chromium","locales/locales.spec.ts","Test of locale for en language","","","check elements of main page",""
