"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Apr 19 10:30:31 GMT 2024","Fri Apr 19 10:30:31 GMT 2024","2","chromium","example.spec.ts","","","","has title",""
"passed","Fri Apr 19 10:30:28 GMT 2024","Fri Apr 19 10:30:31 GMT 2024","3742","chromium","check-pages.spec.ts","Check pages and elements > Check page ActivitiesPage","","","check url and elements",""
"skipped","Fri Apr 19 10:30:31 GMT 2024","Fri Apr 19 10:30:31 GMT 2024","1","chromium","check-pages.spec.ts","Check pages and elements","","","debug",""
"failed","Fri Apr 19 10:30:35 GMT 2024","Fri Apr 19 10:30:37 GMT 2024","2274","chromium","check-pages.spec.ts","Check pages and elements","","","Check activity groups at /activities page",""
"passed","Fri Apr 19 10:30:28 GMT 2024","Fri Apr 19 10:30:32 GMT 2024","3882","chromium","check-pages.spec.ts","Check pages and elements > Check page MainPage","","","check url and elements",""
"skipped","Fri Apr 19 10:30:31 GMT 2024","Fri Apr 19 10:30:31 GMT 2024","0","chromium","example.spec.ts","","","","get started link",""
"skipped","Fri Apr 19 10:30:31 GMT 2024","Fri Apr 19 10:30:31 GMT 2024","1","chromium","locales/locales.spec.ts","Test of locale for en language","","","check url",""
"passed","Fri Apr 19 10:30:28 GMT 2024","Fri Apr 19 10:30:32 GMT 2024","3907","chromium","check-pages.spec.ts","Check pages and elements > Check page ContributorsPage","","","check url and elements",""
"skipped","Fri Apr 19 10:30:31 GMT 2024","Fri Apr 19 10:30:31 GMT 2024","2","chromium","locales/locales.spec.ts","Test of locale for en language","","","check elements of main page",""
