"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Apr 19 09:56:54 GMT 2024","Fri Apr 19 09:56:54 GMT 2024","1","chromium","locales/locales.spec.ts","Test of locale for en language","","","check url",""
"passed","Fri Apr 19 09:56:51 GMT 2024","Fri Apr 19 09:56:54 GMT 2024","3480","chromium","check-pages.spec.ts","Check pages and elements > Check page ActivitiesPage","","","check url and elements",""
"skipped","Fri Apr 19 09:56:54 GMT 2024","Fri Apr 19 09:56:54 GMT 2024","3","chromium","locales/locales.spec.ts","Test of locale for en language","","","check elements of main page",""
"passed","Fri Apr 19 09:56:51 GMT 2024","Fri Apr 19 09:56:54 GMT 2024","3724","chromium","check-pages.spec.ts","Check pages and elements > Check page MainPage","","","check url and elements",""
"skipped","Fri Apr 19 09:56:54 GMT 2024","Fri Apr 19 09:56:54 GMT 2024","0","chromium","example.spec.ts","","","","get started link",""
"skipped","Fri Apr 19 09:56:54 GMT 2024","Fri Apr 19 09:56:54 GMT 2024","1","chromium","example.spec.ts","","","","has title",""
"passed","Fri Apr 19 09:56:51 GMT 2024","Fri Apr 19 09:56:55 GMT 2024","3879","chromium","check-pages.spec.ts","Check pages and elements > Check page ContributorsPage","","","check url and elements",""
"skipped","Fri Apr 19 09:56:54 GMT 2024","Fri Apr 19 09:56:54 GMT 2024","1","chromium","check-pages.spec.ts","Check pages and elements","","","debug",""
"failed","Fri Apr 19 09:56:58 GMT 2024","Fri Apr 19 09:57:00 GMT 2024","2378","chromium","check-pages.spec.ts","Check pages and elements","","","Check activity groups at /activities page",""
