"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 10:37:39 GMT 2024","Fri Apr 19 10:37:42 GMT 2024","3724","chromium","check-pages.spec.ts","Check pages and elements > Check page ActivitiesPage","","","check url and elements",""
"skipped","Fri Apr 19 10:37:42 GMT 2024","Fri Apr 19 10:37:42 GMT 2024","1","chromium","example.spec.ts","","","","has title",""
"skipped","Fri Apr 19 10:37:42 GMT 2024","Fri Apr 19 10:37:42 GMT 2024","1","chromium","locales/locales.spec.ts","Test of locale for en language","","","check elements of main page",""
"skipped","Fri Apr 19 10:37:42 GMT 2024","Fri Apr 19 10:37:42 GMT 2024","1","chromium","locales/locales.spec.ts","Test of locale for en language","","","check url",""
"passed","Fri Apr 19 10:37:39 GMT 2024","Fri Apr 19 10:37:42 GMT 2024","3815","chromium","check-pages.spec.ts","Check pages and elements > Check page ContributorsPage","","","check url and elements",""
"skipped","Fri Apr 19 10:37:42 GMT 2024","Fri Apr 19 10:37:42 GMT 2024","1","chromium","example.spec.ts","","","","get started link",""
"failed","Fri Apr 19 10:37:46 GMT 2024","Fri Apr 19 10:37:48 GMT 2024","2466","chromium","check-pages.spec.ts","Check pages and elements","","","Check activity groups at /activities page",""
"skipped","Fri Apr 19 10:37:42 GMT 2024","Fri Apr 19 10:37:42 GMT 2024","1","chromium","check-pages.spec.ts","Check pages and elements","","","debug",""
"passed","Fri Apr 19 10:37:39 GMT 2024","Fri Apr 19 10:37:43 GMT 2024","3958","chromium","check-pages.spec.ts","Check pages and elements > Check page MainPage","","","check url and elements",""
